,地址,经度,纬度,等级
上海黄南中医门诊部,黄浦区建国中路1号405-406室,121.4671441141866,31.212233257199337,一级
黄浦区牙病防治所分所,净土街77号,121.48708728156033,31.22130970172459,二级
黄浦区传染病医院,铁道路135号,121.48240539215212,31.20182725388724,二级
黄浦区肿瘤防治院,洪山路160号,121.49432982243155,31.17897107413899,二级
黄浦区半淞园街道社区卫生服务中心,西藏南路1350号,121.48260248801704,31.208822432955074,一级
黄浦区老西门街道社区卫生服务中心,学前街81号,121.4851325619832,31.21873313256589,一级
黄浦区老西门街道社区卫生服务中心肇周路分中心,肇周路183号,121.47637513333848,31.21821693078445,一级
黄浦区外滩街道社区卫生服务中心,宁波路321号,121.47655787692327,31.24022521963899,一级
黄浦区外滩街道社区卫生服务中心金陵分中心,广西北路230号－1,121.4734799213328,31.23492594522521,一级
黄浦区外滩街道社区卫生服务中心广东路分中心,广东路153号,121.48379441546557,31.235417398862463,一级
黄浦区小东门街道社区卫生服务中心南仓街分中心,南仓街97号,121.49648368317183,31.21319264994175,一级
黄浦区小东门街道社区卫生服务中心聚奎街分中心,聚奎街2号,121.49254742618284,31.226019778179854,一级
黄浦区小东门街道社区卫生服务中心天灯弄分中心,天灯弄109号,121.49197961367264,31.223330339984336,一级
黄浦区南京东路街道社区卫生服务中心,北京西路112号,121.46680576062543,31.23875893467368,一级
黄浦区南京东路街道社区卫生服务中心广场分中心,成都北路290号,121.46291425801228,31.230820392319156,一级
黄浦区南京东路街道社区卫生服务中心浙江中路分中心,天津路396号,121.47436355759748,31.238808647896306,一级
黄浦区豫园街道社区卫生服务中心,中华路1525号,121.48035354047063,31.22164475323566,一级
黄浦区豫园街道社区卫生服务中心三牌楼路分中心,光启路111号,121.48984473988119,31.2258737656125,一级
上海市强生职工医院,外马路984号,121.50235473657796,31.213988827969423,一级
上海交通大学医学院附属瑞金医院,瑞金二路197号,121.46307220987066,31.213744843150316,三级
上海交通大学医学院附属瑞金医院(徐家汇路执业点慢性病部),徐家汇路573号,121.46754069771097,31.208562086426575,三级
上海中医药大学附属曙光医院,普安路185号,121.4747912042117,31.224720371015724,三级
上海中医药大学附属曙光医院（浦东张衡路执业点）,张衡路528号,121.59091152902229,31.189412198723176,三级
上海市中医文献馆中医门诊部,瑞金二路156号,121.46113351866444,31.211212112658256,三级
上海交通大学医学院附属瑞金医院卢湾分院,重庆南路149号,121.46797506203174,31.22059050539078,二级
上海市黄浦区东南医院,瞿溪路1100号,121.46921378496447,31.200522513677374,二级
上海江南造船集团职工医院,龙华东路155号,121.48432842255313,31.210466710896966,二级
上海江南造船集团职工医院瞿溪路执业点,瞿溪路1069号,121.47041155829608,31.202105009477087,二级
上海市黄浦区香山中医医院,复兴中路526－528号,121.46219021623908,31.217133964223606,二级
黄浦区精神卫生中心第二执业点,瞿溪路1162号,121.46886966865303,31.200522579735523,二级
第二军医大学第二附属医院,凤阳路415号,121.46282571221562,31.234007692054877,三级
上海交通大学医学院附属第九人民医院,制造局路639号,121.48287488139229,31.203684723020448,三级
上海交通大学医学院附属第九人民医院浦东分院,严镇路166号,121.52656045702956,31.193721292935813,三级
上海交通大学医学院附属仁济医院,山东中路145号,121.4796147967861,31.235476172667095,三级
上海交通大学医学院附属仁济医院（浦东东方路执业点）,东方路1630号,121.52016124391506,31.20939344301007,三级
华东医院市府大厦门诊部,江西中路 187号,121.40247789234984,31.109763238749913,三级
华东医院第四执业点,泰兴路680号,121.4527693983476,31.23524767792897,三级
华东医院第五执业点,黄陂北路55号,121.46750585214762,31.22879639660884,三级
华东医院第三执业点,人民大道200号220室,121.46917794260735,31.23235825775302,三级
复旦大学附属妇产科医院,方斜路419号,121.47873642568024,31.215940779900432,三级
上海市口腔病防治院,北京东路356号,121.47870706330625,31.24244137467594,三级
上海市口腔病防治院复兴中路分院,复兴中路1258号,121.45330361737616,31.214852458682504,三级
黄浦区中心医院,四川中路109号,121.48433928295034,31.236060707511655,二级
黄浦区中心医院中医门诊部,宁波路109号,121.48040806719418,31.24114688281845,二级
上海市第二人民医院,多稼路1号,121.50049220411387,31.212134159317216,二级
上海市第二人民医院中华路门诊部,中华路706号,121.49180152211142,31.216866865113584,二级
黄浦区中西医结合医院,黄家路163号,121.49002703318772,31.218328866111904,二级
黄浦区中西医结合医院分院,方浜中路59号,121.49165109343615,31.227341477755857,二级
黄浦区老年护理医院,黄浦区中华路1495号,121.48028931210976,31.221704538581317,二级
黄浦区精神卫生中心,北京西路130号,121.46645365059358,31.23864005192137,二级
黄浦区精神卫生中心分中心,北张家浜路39弄5号,121.52201761965857,31.2188270055896,二级
黄浦区妇幼保健所,中华路1515号,121.48034750748519,31.22178566925358,二级
黄浦区牙病防治所,江西中路136弄2 号,121.48321732488941,31.236105387363718,二级
上海市黄浦区妇幼保健院,丽园路712号,121.47436913668128,31.20885073436516,二级
上海市黄浦区第二牙病防治所,瑞金二路148号,121.4615557668735,31.21154602095539,二级
上海市黄浦区打浦桥街道社区卫生服务中心,丽园路712号甲,121.47436913668128,31.20885073436516,一级
上海市黄浦区淮海中路街道社区卫生服务中心,淡水路285号,121.46929063968251,31.216819852666386,一级
上海市黄浦区瑞金二路街道社区卫生服务中心,陕西南路147号,121.45580747940618,31.21632760621839,一级
上海市黄浦区五里桥街道社区卫生服务中心,瞿溪路987号,121.47329314549616,31.201593241042858,一级
上海市黄浦区顺昌医院,建国东路80号,121.475055893723,31.215414521258413,一级
