,机构名称,学校机构办学类型,经度,纬度
1,上海市松江区九亭中学,初级中学,121.30401034797826,31.153539769435476
2,上海市坦直中学,初级中学,121.64013387835764,31.074468121872766
3,上海市石笋中学,初级中学,121.64005252612377,31.01988186606633
4,上海市兴业中学,初级中学,121.46833984406518,31.213506858379272
5,上海市新陆中学,初级中学,121.61949675143933,31.26132852763464
6,上海市淞谊中学,初级中学,121.47459422130534,31.403392412229532
7,上海市罗阳中学,初级中学,121.40820810434343,31.123373716472887
8,上海市罗山中学,初级中学,121.55415682441499,31.24955064008677
9,上海市蔡路中学,初级中学,121.72464465629999,31.216463191632773
10,上海市崇明区向化中学,初级中学,121.71838604541367,31.523405187948583
11,上海市崇明区大公中学,初级中学,121.75725367421143,31.531127496396874
12,上海市浦东新区教育学院实验中学,初级中学,121.53572478968016,31.16508064760026
13,上海市闵行区马桥复旦万科实验中学,初级中学,121.37797669260603,31.028614267089385
14,上海市松江二中(集团)初级中学,初级中学,121.24105507087592,31.01061573492684
15,上海市致远中学,初级中学,121.57128038707351,31.245253830422307
16,上海市崇明区凌云中学,初级中学,121.39583466462597,31.630106750780396
17,上海市松江区第七中学,初级中学,121.23019612767108,31.0182003611775
18,上海市南汇第二中学,初级中学,121.73549803634165,31.058558875506847
19,上海市第五中学,初级中学,121.4672974284751,31.295859785722865
20,上海市澄衷初级中学,初级中学,121.49873738446675,31.253575782500516
21,上海市吴泾中学,初级中学,121.46157887005829,31.047638085988567
22,上海市青浦区颜安中学,初级中学,121.03827083531915,31.00802781117055
23,上海市航华中学,初级中学,121.34815828396154,31.174970856999973
24,上海市六灶中学,初级中学,121.69455951546472,31.115664865510773
25,上海市东林中学,初级中学,121.53442384940887,31.154683964527052
26,上海市浦东教育发展研究院附属中学,初级中学,121.75684242754754,31.081896661710704
27,上海市嘉定区青少年业余体校,初级中学,121.26910483087768,31.380376697805552
28,上海市嘉定区丰庄中学,初级中学,121.35773739399404,31.244967042634883
29,上海市金山初级中学,初级中学,121.33716114854367,30.756677866680636
30,上海市张堰第二中学,初级中学,121.28130874863517,30.810485087076657
31,上海市钱圩中学,初级中学,121.24943876529548,30.776206270996106
32,上海市同凯中学,初级中学,121.3573947242292,30.73742875674785
33,上海市金山区青少年业余体育学校,初级中学,121.33773890049733,30.70951981732139
34,上海市蒙山中学,初级中学,121.34548988668482,30.72955094238311
35,上海市松隐中学,初级中学,121.23228946064764,30.895229140105794
36,上海市梅陇中学,初级中学,121.3846655805449,31.244889053181353
37,上海市兴塔中学,初级中学,121.06995373142081,30.87267003099398
38,上海市朱行中学,初级中学,121.32845184669951,30.84677665104319
39,上海市漕泾中学,初级中学,121.40660227224814,30.79878859944944
40,上海市罗泾中学,初级中学,121.33066585679785,31.485058302066093
41,华东师范大学第一附属初级中学,初级中学,121.49717261231714,31.266961262336235
42,上海市北虹初级中学,初级中学,121.47073221868399,31.27674192937115
43,上海市鲁迅初级中学,初级中学,121.48266783664909,31.26610643998596
44,上海市钟山初级中学,初级中学,121.46211858077918,31.3033732718743
45,上海市丰镇中学,初级中学,121.47398443287403,31.307116713781298
46,同济大学附属实验中学,初级中学,121.15814320910604,31.280959902762913
47,上海市澧溪中学,初级中学,121.57428421247936,31.11179505546377
48,华东师范大学第二附属中学附属初级中学,初级中学,121.59042950657641,31.090532878301737
49,上海市闵行第四中学,初级中学,121.39961156177517,31.014995067804183
50,华东师范大学松江实验中学,初级中学,121.23333497027845,31.037559628147257
51,上海市龙柏中学,初级中学,121.357352689626,31.180162669027666
52,上海市川沙中学华夏西校,初级中学,121.69710473668515,31.19615462931387
53,上海市南汇第三中学,初级中学,121.75480718296255,31.054201747388664
54,上海市普陀区教育学院附属中学,初级中学,121.3838910346366,31.256975117503195
55,上海市东沟中学,初级中学,121.57772869670157,31.285084109945434
56,上海市华东师大一附中实验中学,初级中学,121.50025551322598,31.269368460668115
57,上海市五三中学,初级中学,121.70222183751353,31.200507657983785
58,上海市新港中学,初级中学,121.86569764670543,30.985997712689237
59,上海市陆行中学南校,初级中学,121.58091850148772,31.25092475640123
