,地址,经度,纬度
星巴克咖啡(上海广场店),淮海中路138号上海广场F1层106,121.47374043102968,31.22748412190498
星巴克咖啡(来福士1店),西藏中路268号来福士广场2层5室,121.47216362466047,31.233833778127313
星巴克咖啡(城隍珠宝店),丽水路88号1层116单元,121.48591734484215,31.230470946495267
星巴克咖啡(睿园路店),斜土东路90号1-2楼,121.48589497887205,31.210320407621637
星巴克咖啡(日月光店),徐家汇路618号日月光广场一层1F-A08单元,121.4639613304549,31.209406227670193
星巴克咖啡(古象大酒店),九江路595号古象大酒店(近湖北路),121.47511832905265,31.236198971141974
星巴克咖啡(新世界城),南京西路2-68号新世界城三楼星巴克咖啡,121.46892470773408,31.237178353725444
星巴克咖啡(香港名都店),河南南路489号香港名都购物中心1层(近复兴东路),121.48517920633432,31.224855382991567
星巴克咖啡(汇暻生活广场店),鲁班路615号汇暻生活广场102-103室,121.47294803426671,31.201105515505112
星巴克咖啡(上海K11购物艺术中心),淮海中路300号上海K11购物艺术中心L1层106,121.46902200796862,31.22568593779622
星巴克咖啡(歌斐中心店),蒙自路757号1楼106单元,121.47747248305588,31.199475112863926
星巴克咖啡(香港广场购物中心北区),淮海中路283号香港广场购物中心北区F1层NL1-16,121.47004233517478,31.225641737935184
星巴克咖啡(迪美广场店),人民大道221号B1层B08号,121.46891624274882,31.230614354741288
星巴克咖啡(思南公馆店),思南路50号,121.4630227771468,31.21701415582989
星巴克咖啡(汉口路店),四川中路213号久事商务大厦一层,121.48354829455874,31.23839731057149
星巴克咖啡(十六铺码头店),中山东二路531号十六铺旅游水岸商业广场B1层(十六铺公交站地下B1层),121.49274273624317,31.230644208913617
星巴克咖啡(8号桥2店),8号桥二期局门路436号1号楼1102单元,121.47745894360801,31.205256251580924
星巴克咖啡(湖滨道店),湖滨路150号湖滨道购物中心1层105室,121.47478435257455,31.222713294773936
星巴克咖啡(金外滩花园店),中山南路200弄金外滩花园北侧底楼(老太平弄),121.4959657934113,31.225290364395104
星巴克咖啡(黄浦新苑店),黄浦新苑西藏南路1130号,121.48178829769284,31.212795140163312
星巴克咖啡(东海店),延安东路588号东海商业中心1层,121.47544178890163,31.23193684960569
星巴克咖啡(来福士二店),西藏中路268号来福士办公楼1层(近福州路),121.47252977533982,31.234612437263923
星巴克咖啡(亚龙国际广场店),金陵东路500号亚龙国际广场F1层,121.47550627066366,31.22885746083501
星巴克咖啡(新天地店),太仓路181弄上海新天地北里F1层,121.46984391583604,31.22296745092867
星巴克咖啡(海洋大厦店),延安东路550号海洋大厦1层(近浙江中路),121.47703212458748,31.232879939397627
星巴克咖啡(宏伊广场店),南京东路299号宏伊国际广场2层S-215单元(近九江路),121.47985534174505,31.238865317920627
星巴克咖啡(黄浦永新广场店),南京西路128号永新广场1层,121.46773397269448,31.235926713887043
星巴克咖啡(丽园路店),丽园路口蒙自路169号,121.47314304472471,31.20860341496852
星巴克咖啡(福建中路店),福建中路353号-359号1-2层1A02单元,121.47558473970344,31.238186382242738
星巴克咖啡(8号桥店),建国中路10号8号桥1期,121.46674280756105,31.212546036362458
星巴克咖啡(南车站路店),南车站路564号保屯路浦西世博园区F栋,121.4895414439268,31.204786923947612
星巴克咖啡(人民坊店),淮海中路835号1-3层(人民坊),121.45759229281018,31.219890200777147
星巴克咖啡(永银大厦店),桃源路85号永银大厦,121.47573826825148,31.226396266674257
星巴克咖啡(恒基名人购物中心),南京东路300号恒基名人购物中心F1层L114,121.47951504775496,31.240204722687483
星巴克咖啡(外滩店),外滩中山东一路367号,121.48603777458453,31.242197926305177
星巴克咖啡(仙乐斯店),南京西路388号仙乐斯广场F1层,121.46427925774094,31.233425721607187
星巴克咖啡(日月光中心西区),徐家汇路610号日月光中心1层1F-A08单元,121.46419520157892,31.207723648622565
星巴克咖啡(西藏路店),西藏中路289号,121.47019199822563,31.235294670311106
星巴克咖啡(淮海东路店),淮海东路68号,121.47688601610136,31.228299645979465
星巴克咖啡(永安店),南京东路635号永安百货1层,121.47408981745427,31.236689846546973
星巴克咖啡(明珠店),肇嘉浜路212号上海明珠大饭店大堂,121.45794555852417,31.205480968834227
星巴克咖啡(明天广场店),南京西路399号明天广场1层(近黄陂北路),121.46515709901568,31.23230653495458
星巴克咖啡(外滩中心店),延安东路222号外滩中心1层,121.4824758645901,31.234412991267057
星巴克咖啡(申大厦店),汉口路266号申大厦102单元,121.4803460866239,31.238391957182554
星巴克咖啡(上海书城店),福州路465号上海书城2层,121.47697271294898,31.23532064562109
星巴克咖啡(红房子店),陕西南路37号1-3层(近长乐路),121.45322675059845,31.222464671628614
星巴克咖啡(豫园店),豫园路100号,121.48723120173847,31.228276861702682
星巴克咖啡(新金桥店),西藏中路579-581号新金桥广场,121.46888139592521,31.239178322819527
星巴克咖啡(永业公寓店),徐家汇路193-199号,121.47243347570023,31.210985289066887
星巴克咖啡(世茂广场店),南京路步行街世茂广场,121.47147412436274,31.236360707276667
星巴克咖啡(人民公园店),人民公园南京西路189号,121.4664962177911,31.233604474581927
星巴克咖啡(大同店),斜徐路593号一层,121.46809248695232,31.208367663357322
星巴克咖啡(瑞金路店),瑞金二路101-107号(近复兴中路),121.46056228924151,31.217160829670085
星巴克咖啡(美臣店),淮海中路935号美臣大楼1-2层(近陕西南路),121.45509324923765,31.218802741257754
星巴克咖啡(雁荡路店),雁荡路99号(近南昌路),121.46548709056373,31.221187597280277
星巴克咖啡(东航云锦天地店),龙兰路277号3号楼1层七贤日料店,121.45316226209718,31.16800840727837
星巴克咖啡(光启城),宜山路455号光启城L1层183&amp;185,121.4233033689778,31.185587280819124
星巴克咖啡(汇阳广场店),田林东路75号1层105单元,121.4288144975581,31.17631791220396
星巴克咖啡(美罗城店),肇嘉浜路1111号美罗城219号(近漕溪北路),121.43506613841586,31.195307823270674
星巴克咖啡(南洋1931店),裕德路165号1层F1-04单元,121.42800617993007,31.187851993705703
星巴克咖啡(环贸广场店),淮海中路999号环贸iapmLG2层LG2-236,121.45301259662722,31.217446555155068
星巴克咖啡(正大乐城),中山南二路699号正大乐城F1层1-104,121.45264712796632,31.188096036575594
星巴克咖啡(徐汇百联店),华山路2038号百联徐汇商业广场1楼007室,121.43228650442997,31.199676278813854
星巴克咖啡(上海交通大学店),华山路1954号包兆龙图书馆1层,121.42844169464787,31.20158579269543
星巴克咖啡(光大会展店),漕宝路78号光大会展中心1001室,121.42367026269349,31.169592825114123
星巴克咖啡(茶陵北路店),茶陵北路20号A1室,121.46044333336316,31.200855400202954
星巴克咖啡(徐汇万科中心店),定安路55号T2楼101A号,121.42945696163996,31.16023308625615
星巴克咖啡(望月路店),望月路885号附近,121.45593018840124,31.119019913053165
星巴克咖啡(平福路店),平福路188号3幢1层101单元,121.44447540394147,31.139778550617564
星巴克咖啡(永丰国际广场店),宛平南路88号,121.44070978293875,31.197079820300544
星巴克咖啡(宜山路店),宜山路675-1单元,121.41877228340836,31.17886994811323
星巴克咖啡(港汇恒隆广场),虹桥路1号港汇广场1座1层大唐堂,121.43325153754937,31.196780192379038
星巴克咖啡(龙华朵云轩店),天钥桥路1188号,121.44334363118305,31.175723545657917
星巴克咖啡(柳州路店),柳州路399号恒地仓国际大厦一楼大厅,121.4206363622966,31.168769938408662
星巴克咖啡(古北时尚店),吴中路52号古北时尚1层104室,121.4112122820305,31.18984758931935
星巴克咖啡(桂林路店),桂林路402号76幢诚达创意园103室,121.41159292726799,31.174173729332548
星巴克咖啡(壹街坊店),上中西路280号(壹街坊)1层,121.42127391643906,31.136957318442963
星巴克咖啡(凤凰园店),古美路1515号19号楼102B室,121.3931280481609,31.163199561143347
星巴克咖啡(蒲汇塘路店),文定路200号盛源大地家居城1层1A09ab室,121.42695840536283,31.189183943331507
星巴克咖啡(中金国际广场店),漕溪北路331中金国际广场A座1层,121.43469965598938,31.192630551318814
星巴克咖啡(飞洲国际广场店),零陵路899号飞洲国际广场F1层,121.43338078789188,31.185140185187908
星巴克咖啡(好望角店),肇嘉浜路500-2号,121.4497731778553,31.203118209077303
星巴克咖啡(名仕苑店),广元西路108-2号,121.42933452157774,31.19755400405225
星巴克咖啡(枫林国际大厦店),枫林路380号102室,121.45312198298754,31.193213574532248
星巴克咖啡(上影博物馆店),漕溪北路595号上海电影博物馆A座1楼博物馆内,121.43367709440594,31.18804519668397
星巴克咖啡(钦州北路店),田尚坊钦州北路238-240号,121.41549054768754,31.18236932894384
星巴克咖啡(田林宾馆店),田林路1号6幢第12层C区,121.41883083433575,31.17329084316322
星巴克咖啡(斜土路店),南丹东路18号(斜土路口),121.44108600019902,31.19269968736264
星巴克咖啡(衡山坊店),衡山路890弄3号,121.43502083668936,31.197768536053385
星巴克咖啡(越界店),田林路140号越界创意产业园1层,121.4073434506232,31.171482878175524
星巴克咖啡(武康路店),武康路420号1层,121.43318357129193,31.206465352065702
星巴克咖啡(科产大厦店),宜山路900号科产大厦A座1层(近桂平路),121.39721763724378,31.173994548810267
星巴克咖啡(徐汇苑店),中山南二路1089号徐汇苑大厦1层101室,121.4385525045152,31.180821013588663
星巴克咖啡(宏汇国际广场店),中山西路1602号宏汇国际广场B座1层02室,121.4170225267618,31.188721412285837
星巴克咖啡(钦江路店),钦江路102号(虹漕路与钦江路交汇处),121.40449755476023,31.178593215817454
星巴克咖啡(漕河泾2店),桂平路391号新漕河泾国际商务中心B座1层,121.39915745411254,31.165516942943928
星巴克咖啡(美罗大厦店),天钥桥路30号美罗大厦1层,121.43589482343262,31.1947734580223
星巴克咖啡(上海南站店),盛泰奥特莱斯南广场1层B区南1-B25号,121.4268242472146,31.153999790391858
星巴克咖啡(世纪商贸店),长乐路989号世纪商贸广场1层,121.44234675051663,31.217067235257765
星巴克咖啡(嘉汇店),美城天地天钥桥路323号,121.43752351386455,31.19044138111872
星巴克咖啡(永新店),辛耕路129号(近天钥桥路),121.43826973855157,31.194324759529174
星巴克咖啡(汾阳路店),汾阳路138号上海轻科大厦1层3单元,121.44839888814425,31.211743066388678
上海星巴克咖啡有限公司(宜山路),宜山路1009号创新大楼1层,121.39632379507152,31.17251934068602
星巴克咖啡(爱美高大厦店),淮海中路1325号爱美高大厦1层103室,121.44529495029701,31.214234407455702
星巴克咖啡(均瑶店),肇嘉浜路789均瑶国际广场1层,121.4439018343454,31.200142439611213
星巴克咖啡(中关村虹桥创新中心店),临虹路365号-1A铺,121.34552764386488,31.23193759257973
星巴克咖啡(老船坞店),,121.40436697928139,31.219095291931424
星巴克咖啡(西郊友谊店),仙霞西路88号百联西郊购物中心F1层1210,121.36631579258048,31.210989346395174
星巴克咖啡(番禺路店),番禺路1号龙之梦大厦对面,121.42394397724394,31.211838128130488
星巴克咖啡(长宁来福士东区),长宁路1139号长宁来福士东区F6层,121.4102841877201,31.217863408120532
星巴克咖啡(黄金城道店),黄金城道776号1楼103室,121.39426884098121,31.197530000315503
星巴克咖啡(尚嘉中心店),仙霞路99号尚嘉中心LG2层,121.40245138708383,31.207475375406755
星巴克咖啡(KiNG88),长宁路90号附近KiNG88F1层L1-17&amp;18,121.42223802235165,31.230669308209567
星巴克咖啡(福缘湾九华店),淞虹路920号福缘湾商场1层1座1101单元,121.3597024034039,31.20661516722778
星巴克咖啡(凌空广场店),巿长宁区金钟路968号的凌空SOHO广场2号楼2-106室,121.34883976267733,31.223137072414552
星巴克咖啡(东方国信店),福泉北路388号1号办公楼(B座)1楼102室,121.35140301210988,31.232193639451797
星巴克咖啡(延安西路店),,121.43098254804116,31.21836530793738
星巴克咖啡(神州智慧天地店),神州智慧天地 天山西路567号神州智慧天地裙房1层R106号,121.35230238296181,31.219835979496157
星巴克咖啡(长宁来福士西区),长宁路1193号凯德长宁来福士T3商务楼1层,121.40903230099194,31.218723332876813
星巴克咖啡(凌空广场店)1,金钟路968号凌空soho16号楼1层,121.3463008110224,31.22340424228828
星巴克咖啡(万都店),兴义路8号万都中心大厦1楼S102、S106商铺,121.42510261641173,31.212077397337588
星巴克咖啡(北新泾店),天山西路138号上海馥邦购物中心1楼,121.36889854652269,31.21884655520404
星巴克咖啡(优客百盛店),天山路889号优客百盛城市广场1层1E04室,121.3992194029146,31.212102701380037
星巴克咖啡(尚品中心店),通协路272号虹桥国际商务花园尚品中心1层,121.35068565766551,31.229052260468976
星巴克咖啡(淮海花园店),淮海西路280号101(番禺路与淮海西路交口),121.42444755616557,31.20186755277054
星巴克咖啡(申亚店),申亚珺悦1层,121.37066027616356,31.218728664473485
星巴克咖啡(金虹桥商场店),茅台路179号B2LG2583单元,121.39798842468761,31.210968199300478
星巴克咖啡(巴黎春天天山店),天山路762-780号巴黎春天(天山店)F1层,121.39715418516018,31.21363192686782
星巴克咖啡(星空广场店),虹桥路1665号星空广场A-104-105单元,121.38749963141716,31.20283839766617
星巴克咖啡(中山广场店),中山西路1065号SOHO中山广场B座1室(近虹桥路),121.4108621679861,31.199746486798862
星巴克咖啡(虹桥南丰城二店),遵义路100号虹桥南丰城B座B1层,121.4036416220672,31.20882800210647
星巴克咖啡(延安西路店)2,新华路519号18室(近定西路),121.41853265059898,31.20606023185777
星巴克咖啡(龙之梦购物中心),长宁路1018号龙之梦购物中心F1层1073,121.41223737784455,31.220660264649954
星巴克咖啡(龙之梦购物中心)3,长宁路1018号上海龙之梦大厦B2层2号,121.41198219517368,31.220474188452396
星巴克咖啡(虹桥万豪店),虹桥路2270号万豪大酒店A段1层,121.37193390095284,31.19350655892876
星巴克咖啡(淮海坊店),新·淮海坊F1层,121.4180768177013,31.198328587912947
星巴克咖啡(缤谷广场店),天山路341号缤谷广场1层102室,121.38261449213105,31.21620757284692
星巴克咖啡(昭化路店),定西路1026号(近昭化路),121.4189354896955,31.21314919265154
星巴克咖啡(上海高岛屋百货),虹桥路1438号上海高岛屋百货1F层,121.3987224241815,31.19991658711964
星巴克咖啡(东方维京大厦店),仙霞路333号东方维京大厦1层,121.39407094268545,31.20821681747619
星巴克咖啡(统一企业大厦店),天山西路568号统一企业大厦1幢105-106号,121.35583880026775,31.221051907880966
星巴克咖啡(联强国际店),天山西路1068号联强国际A栋1C单元(近协和路),121.35047768767919,31.221798998403006
