,地址,经度,纬度
肯德基(香港广场购物中心北区),淮海中路282号香港广场商场北座B1层NBL04室,121.47030518741911,31.22573641309564
肯德基(永业店),蒙自路25号,121.4723863513142,31.21060733987922
肯德基(打浦桥店),徐家汇路679-1号,121.46376995535947,31.206859961738385
肯德基(瞿溪店),瞿溪路477号1层,121.48357420867337,31.205234022256633
肯德基(上海市第一百货商店),西藏中路462号-500号一百商城(新楼),121.4698255960013,31.237679575584643
肯德基(曼克顿店),南京东路463号步行街曼克顿广场1层(近福建中路),121.47703268295146,31.23807355576291
肯德基(丽园店),西藏南路1130号2-3号楼d-1商铺,121.48185052777694,31.2126493918044
肯德基(福州店),福州路556号(近浙江中路),121.47553383394153,31.23506266922063
肯德基(豫园店),福佑路234号,121.4868266373449,31.229741979368693
肯德基(三阳店),南京东路626-636号2层,121.47397635074599,31.237687071352727
肯德基(中华店),中华路1405号,121.48157397365132,31.219543298858948
肯德基(日月光中心西区),徐家汇路618号日月光中心西区B2层,121.4634528483257,31.208328430175758
肯德基(和平店),西藏中路268号来福士广场1层,121.47149732904887,31.23486545789824
肯德基(外滩店),中山东一路353号(近陈毅广场),121.48602577186891,31.241729103276267
肯德基(豫安阁店),方浜中路245号豫安阁b1层,121.48840144302883,31.227471716563148
肯德基(南洋店),南京东路558号上海旅游品商厦B1层,121.47526267716042,31.23784362651798
肯德基,淮海中路98号金钟广场101-F,121.47425716791933,31.22747957549979
肯德基(动力南广场店店),石龙路750-3号汇金奥特莱斯南商场B2层,121.42653081429663,31.15377453084068
肯德基(华泾店),华泾镇华泾路509号7栋101,121.4501642676449,31.121020620876422
肯德基(新凌云店),凌云路365号1-2层,121.41472163997355,31.13846057160431
肯德基(汇金百货西区),肇嘉浜路1000号汇金百货西区F1层,121.43600684705815,31.197088503014715
肯德基(永隆店),淮海中路1298号永隆大厦,121.4461028176429,31.215436483339634
肯德基(钦州南路店),桂林路39号一-三层,121.41573073794568,31.159827077950574
肯德基(漕东店),地铁三号线漕溪路站吉美臣商场1楼,121.43337430954345,31.178975284841986
肯德基1,天钥桥路123号,121.43744202002573,31.194197375436207
肯德基(新宜街店),桂林路519号新宜街1楼(近桂林路地铁站4号口),121.41170176837204,31.17694538511888
肯德基(秀山店),番禺路872号1层,121.42372681705348,31.198676269003617
