,地址,经度,纬度
麦当劳(世贸商都店),南京西路258号世茂商都1幢1层(黄河路与南京西路交口),121.46641388279673,31.234460861387007
麦当劳(打浦桥店),瑞金南路1号海兴广场1层,121.46332859546052,31.206804846322555
麦当劳(老西门店),西藏南路567号一层104室商铺(地铁老西门1号出口旁),121.47870386229413,31.22122917715367
麦当劳(上海广场店),淮海中路138号上海广场,121.4736762582606,31.226987173919174
麦当劳(新邻生活广场店),陆家浜路1100号新邻生活广场1层,121.48287301987486,31.213730866092263
麦当劳(南京东路店),南京东路588号丝绸商厦B1层,121.47477804249789,31.237792280321692
麦当劳(豫园店),丽水路88号城隍庙第一购物中心1-2层,121.48590331461827,31.230241011651035
麦当劳(食品一店),南京东路720号2层,121.47246131522319,31.23732700136682
麦当劳(瞿溪路店),瞿溪路691号1幢1层,121.47874748417013,31.203973578071235
麦当劳(日月光中心西区),徐家汇路618号日月光中心西区B2层B2-TK67,121.4640315999185,31.20880869862295
麦当劳(亚龙国际广场),金陵东路500号亚龙国际广场B2层,121.47528350563582,31.22897477530763
麦当劳(豫园2号店),旧校场路155号豫园百货B1-1层,121.48670039080858,31.227360713605933
麦当劳(新闸路店),新闸路245号,121.46291438733103,31.240960739829895
麦当劳(新华联店),淮海中路775号新华联商厦西楼B1层,121.45899735391949,31.220439379939357
麦当劳(悦荟广场店),南京东路353号,121.47956736279423,31.238636588519626
麦当劳(百盛淮海路店),淮海中路918号百盛(淮海路店)B1层,121.45485854166311,31.219368921392338
麦当劳(凤阳路店),西藏中路525号雅居乐国际广场1层(凤阳路口),121.46901192016831,31.238000214438618
麦当劳(新世界城)(装修中),南京西路68号新世界城B1层(COCO都可奶茶)杜莎夫人蜡像馆门下去右转,121.46925581763608,31.236770439419995
麦当劳(钦州北路柳州路店),钦州北路218号田尚坊1层,121.41574978124255,31.18256243920209
麦当劳(斜土路2号店),斜土路1646号101、201,121.45185213720843,31.197861394225054
麦当劳(星游城店),天钥桥路580号星游城1F层,121.43773122471978,31.187215352694935
麦当劳(正大乐城),中山南二路699号正大乐城F1层6-101&amp;101-2&amp;102-2,121.453893524235,31.188355769783136
麦当劳(桂平路店),桂平路391号1号楼114B室,121.39871234339427,31.166381472857925
麦当劳(田林沃尔玛店),桂林路402号沃尔玛1层,121.4125858488502,31.172455245344977
麦当劳(长桥好又多店),老沪闵路809号(好又多凌云店正门右侧),121.42713303051808,31.138961160739846
麦当劳(光启城),宜山路455号光启城B2层B2-11-13,121.42353063148943,31.186163252497877
麦当劳(华山路店),华山路2038号百联徐汇商业广场F1层,121.43276946396155,31.198830434740607
麦当劳(上海柳州路餐厅),柳州路99号中星城1层,121.42405456150877,31.160810813426025
麦当劳(虹梅南路店),沪闵路8075号虹梅商务大厦,121.40924193098985,31.14400212383144
麦当劳(天钥桥路店),天钥桥路1号,121.4365630853914,31.195736107797387
麦当劳(环贸iapm),淮海中路999号环贸iapmLG2层LG2-230,121.45287720547643,31.217694127888066
麦当劳(上海南站一店),沪闵路9001-3号汇金奥特莱斯南商场B1楼1-B16号及B2楼2-A21号,121.42706661631048,31.154091057330874
麦当劳(延安西路站店),轨道交通3号线延安西路站3延安西路地铁站旁边2号出口,121.41235033101442,31.21073607126228
麦当劳(古北店),水城南路258号古北家乐福1层,121.38890332688966,31.19881279531008
麦当劳(仙霞路店),仙霞西路88号百联西郊购物中心F2层2301,121.3647371080507,31.210823386761273
麦当劳(华宁国际店),宣化路300号华宁国际广场裙房商场1-2层,121.41779870917124,31.21909231051506
麦当劳(北新泾店),天山西路138号上海馥邦购物中心,121.36813355022365,31.219130297925187
麦当劳(上海高岛屋百货),虹桥路1438号上海高岛屋百货B1层200-204,121.39823936135103,31.200326370367293
麦当劳(淮海西路店),凯旋路1586号2层,121.41723292012482,31.19823088329087
麦当劳(新·淮海坊),凯旋路1580-1582号新·淮海坊F1层,121.41724694391074,31.1981269466415
麦当劳(星空国际店),虹桥路1665号星空广场2层,121.38785854017999,31.201856722700786
麦当劳(福泉路店),金钟路631弄3号105室,121.35405501870832,31.221104618773065
麦当劳(虹桥上海城店),遵义路100号102单元,121.40231725387717,31.20860180311547
麦当劳(龙之梦购物中心),长宁路1018号龙之梦购物中心B2层B2708,121.41261569916101,31.220429622430103
麦当劳(凌空Soho),金钟路968号的凌空SOHOB1层21室,121.34739856382704,31.223825172308707
麦当劳(中山枢纽店),长宁路1057号中山公园2号线地铁站8号口B1层,121.4118781849236,31.219672501673937
麦当劳(百盛优客城市广场西楼),天山路789-889号百盛优客城市广场西楼F1层,121.39791925995692,31.212835301974927
麦当劳(建滔商业广场店),通协路269号一层133、132号商铺,121.3508434691846,31.227731618775696
麦当劳(大宁音乐广场餐厅),万荣路699弄大宁中心广场B1层B131,121.43922917340036,31.282173425624475
麦当劳(武宁南路店),武宁南路488号,121.42587772603994,31.235551329631793
麦当劳(静安寺店),万航渡路18号,121.4393212689259,31.22567353684864
麦当劳(中山北路店),中山北路311号101室A区和201室A区(近平型关路),121.46361239316889,31.265946491414148
麦当劳(秣陵路店),秣陵路258号友谊服饰毛衫市场B1层,121.44951553074411,31.249197108598516
麦当劳(四季坊店),吴江路169号四季坊B1层,121.45625243774171,31.231516532527937
麦当劳(大统路店),大统路679-695号,121.45479050459949,31.252402608267314
麦当劳(悦达889店),万航渡路889号悦达889广场B1层,121.42375600889896,31.23146265307874
麦当劳(汉中路店),恒丰路299号隆宇国际商务广场1层101-102号和2层201-201号,121.45271747725802,31.244287444212873
麦当劳(临汾路店),共和新路4330号,121.44361942587831,31.31269656812656
麦当劳(闸北公园店),洛川东路508号,121.45369293296531,31.270010399678277
麦当劳(中信泰富店),南京西路1168号中信泰富广场B1层(近陕西北路),121.45063314371235,31.229688446444573
麦当劳(芮欧百货),南京西路1601号芮欧百货B2层B208室,121.44274295095144,31.225302111426277
麦当劳(1788国际中心店),巿静安区南京西路1818号1788国际大厦B1层01+28单元,121.4388854772229,31.224005535788365
麦当劳(北广场二店),中兴路1646号,121.4505919463745,31.25388438712567
麦当劳秣陵路店甜品站,秣陵路258号友谊服饰1层,121.44955664365226,31.24912722922988
麦当劳(近铁城市广场店),真北路818号近铁城市广场B2层,121.37726048762423,31.234609907710304
麦当劳(岚皋路-品尊餐厅),铜川路26号品尊国际中心b1层c1,121.416549983607,31.25832233057271
麦当劳(华联商厦普陀店),金沙江路794号华联商厦1层,121.39397670288734,31.234089617249392
麦当劳(铜川路乐购店),铜州路1688号乐购1层,121.3841020905743,31.25471299066794
麦当劳(光新路乐购店),中山北路1855号光新乐购1层(近光新路),121.42737152008748,31.252896425978136
麦当劳(金沙和美廣場店),金沙江路2239弄1号金沙广场B1层,121.36210667798812,31.239145542713185
麦当劳(桃浦店),红棉路301弄6号1层101室,121.34410607431414,31.28372738289061
麦当劳,曹杨路地铁站6号进口内,121.41285110100043,31.24097325696382
麦当劳(梅川店),梅川路1350号(近真光路),121.3764942733652,31.245826459452882
麦当劳(亚新生活广场店),长寿路401号亚新生活广场B1层,121.43256941496034,31.241269057805475
麦当劳(上海环球港),中山北路3300号上海环球港B2层B2001-B2002,121.40662869378102,31.23344336437975
麦当劳(鲁迅公园店),四川北路2408号鲁迅公园儿童乐园管理服务中心1-2层,121.47692852792832,31.27082180757901
麦当劳(曲阳店),曲阳路570号曲阳生活购物中心,121.48641973229056,31.282120742410502
麦当劳(江湾镇店),逸仙路600号江湾镇站1层,121.48069644481076,31.307035946763534
麦当劳(大柏树店),汶水东路351号1层325室,121.47843582696021,31.29277504054681
麦当劳(四川北路店),四川北路1500号,121.47904398142795,31.25702984162852
麦当劳(四平路店),溧阳路1088号,121.48431189019111,31.26301660348444
麦当劳(国定路3号湾店),国定路319号三号湾广场2层,121.50516567474264,31.298309150256763
麦当劳(隆昌路华联超市店),隆昌路609号2幢1层1室,121.53895270381386,31.276471607536966
麦当劳(吉买盛店),控江路1063号吉买盛超市1层(近源泉路),121.52466104958216,31.281035392353076
麦当劳(控江路店),控江路1667号海烟商厦2层,121.51136749699312,31.276118389215334
麦当劳(万达店),邯郸路600号万达广场地下商区B1层A-05,121.5098780635614,31.30223444691982
麦当劳(建发大厦店),杨树浦路298-306号,121.51239799652734,31.2535680920902
麦当劳(同济联合广场店),四平路街道彰武路18号一层102二层203室(同济大学附近),121.50274422636141,31.283895791704552
麦当劳(宝地广场店),唐山路1018号宝地广场C座F2层,121.5069499304416,31.263985653421713
麦当劳(长阳路店),龙口路165号,121.53396373180405,31.271723939024948
麦当劳(中原路店),中原路126号欧尚超市对面(近嫩江路),121.52793748917172,31.317147668831012
麦当劳甜品站(控江路店),控江路1667号海烟商厦1层麦当劳内,121.51141666719626,31.276141521864204
麦当劳(万辉广场店),,121.41794487620692,31.126885491313846
麦当劳(浦江满天星店),召楼路与浦航路交叉口东南100米,121.53741062473914,31.04466314639859
麦当劳(万达广场颛桥店),颛桥镇颛兴东路1559号万达广场(颛桥店)F1层1026B&amp;1026C,121.40210602847264,31.07251906830084
麦当劳儿童乐园,浦江镇陈行公路2688号华侨城商业中心F1层,121.50018280237164,31.096942460603973
麦当劳(鑫都路店),新源路3038号1层,121.39039393614655,31.05845986931614
麦当劳(莘东路店),莘松路58号东苑丽宝广场4号楼2层,121.37209985196914,31.11120861435085
麦当劳(虹桥综合交通枢纽),虹桥路2550号虹桥综合交通枢纽F4层DF-316,121.32279680590702,31.19606799264439
麦当劳(闵行六亿伴店),江川东路1050号,121.41897532467189,31.007818281174774
麦当劳(七莘路店),七莘路3045号,121.34249127263418,31.158740044232204
麦当劳(上海怡丰城餐厅),七宝镇七莘路1507号怡丰城B1层,121.35931939004045,31.13345923859026
麦当劳(七宝万科广场),漕宝路3366号七宝万科广场F1层150B,121.345536245255,31.155505394998197
麦当劳(龙湖虹桥天街店),申滨南路1126号龙湖虹桥天街购物中心B馆F2层,121.3092505935919,31.19338893794053
麦当劳(上海合川路餐厅),合川路2570号102、103、104商铺,121.38078911230419,31.167985735125747
麦当劳(上海良华购物中心店),申滨路960号1层1室,121.3038737432559,31.210753162381838
麦当劳(上海卜蜂莲花新镇店),宝铭路8号卜蜂莲花新镇路店1层,121.36417193842281,31.14193412723854
麦当劳(虹桥机场T2店),上海虹桥机场T2航站楼A3-M2-D24室,121.3195811163355,31.19637900427564
麦当劳(金平路站店),东川路2376号104室,121.40545125140274,31.013563149256463
麦当劳(仲盛世界商城),都市路5001号仲盛世界商城B1层B1-05AB,121.3833452468739,31.109547296307337
麦当劳(虹桥综合交通枢纽)1,申昆路1500号虹桥机场东交通中心3楼DF315-316室,121.31733828023988,31.195656643024115
麦当劳(顾戴路万源城店),万源路550号,121.39129122461173,31.143810185301778
麦当劳(乐虹坊精致生活广场),虹井路288号乐虹坊精致生活广场F1层,121.3668159156639,31.178415849558704
麦当劳(南方店),沪闵路7388号百联南方购物中心1F层,121.39611816758746,31.133892644375564
麦当劳(吴中路店),吴中路1218号,121.3768298352343,31.178108655345305
麦当劳(航北路店),航北路649号,121.34480127302248,31.17259081978751
麦当劳(古北1699店),虹桥镇古北路1699号古北1699商业广场B2层,121.39753619333575,31.190572183472696
麦当劳(上海铁路虹桥站餐厅),铁路虹桥站JC-B2,121.31626972790798,31.195364819169512
麦当劳(浦江陈行餐厅),陈行路2688号一层107、179、203室商铺,121.50017778679393,31.09691346180864
麦当劳(虹桥综合交通枢纽)2,虹桥路2550号虹桥综合交通枢纽F5层3F-B2,121.31456458266254,31.195327066322417
麦当劳3,大场镇锦秋路723号,121.38441892707189,31.322841118881062
麦当劳(友谊路得来速店),友谊路1881-1883号(近铁山路),121.4446367443877,31.39443223795318
麦当劳(淞宝店),牡丹江路143号1层,121.49401566505568,31.379505300286947
麦当劳(上大路店),沪太路3100号,121.40296183603887,31.318507541268648
麦当劳(宝山店),友谊路158号,121.47742261878574,31.406184683947725
麦当劳(万达广场),一二八纪念路936号万达百货4层401-1,121.44177703140849,31.32575712199466
麦当劳(祁连山路店),聚丰园路205号聚丰购物广场F1层,121.37799458889644,31.31695274469601
麦当劳(逸仙路店),高境镇高逸路29号,121.48191736742912,31.322752551346717
麦当劳(大华第一坊店),真华路950号,121.40678315919958,31.27482715503284
麦当劳(富锦路店),蕰川路2462号101号BCD室(近富锦路地铁站),121.4193461208411,31.394729135493986
麦当劳(水产西路店),水产西路1028号世纪联华1层,121.40683110675481,31.355757593761485
麦当劳(牡丹江路店),牡丹江路1258号安信商业广场,121.48275498862486,31.396584809135067
麦当劳(殷高西路店),殷高西路538号,121.46911402046896,31.322254517921575
麦当劳(长江西路店),共和新路5523号,121.43760232573703,31.332844955706744
麦当劳(上坤红街店),淞南镇淞发路939号,121.47475207862404,31.341423237601983
麦当劳(沪宜加油站DT店),沪宜公路3145号,121.2526464077721,31.371952942993513
麦当劳(嘉实生活广场店),嘉松北路6130弄嘉实生活广场北区F1层,121.21788655274588,31.29010474005455
麦当劳(嘉定店),博乐路190号,121.2466918921264,31.387583204209992
麦当劳(南翔DT店),沪宜公路79号,121.31493227802753,31.29385103541356
麦当劳(万达广场)4,金沙江西路1051弄1号2016-2018,121.32099496071854,31.242039659073825
麦当劳(罗宾森购物中心店),城中路138号罗宾森购物广场F2层2-24-28,121.24130832066972,31.386209372202334
麦当劳(大融城店),裕民南路68弄大融城1层,121.27398903388317,31.332235989107776
麦当劳(安亭嘉亭荟餐厅),墨玉南路1055号嘉亭荟城市生活广场1层141,121.15733683379523,31.28987475916151
麦当劳(中信万达店),胜辛路447号中信泰富万达广场1层,121.24989475872029,31.33293670627562
麦当劳(金鼎路店),金鼎路2218号乐坊精致生活广场东区1F层,121.36112236348693,31.26081322086499
麦当劳(丰庄店),曹安公路1685号曹丰建材家居商场F1层,121.36173297607027,31.25401836876745
麦当劳(南翔轻轨站餐厅),佳通路31弄1号3层,121.31816558502291,31.29802522501616
麦当劳(外高桥DT店),台北西路200号,121.60239539367431,31.31939035734702
麦当劳(秀沿路店),秀沿路2552-2562号,121.60117650908154,31.139533860475435
麦当劳(川沙店),新川路400号,121.69426627036523,31.195477556140087
麦当劳(金杨店),金杨路618号金杨第一商城1-2层A区,121.57718580969333,31.2528195169117
麦当劳(长泰广场店),祖冲之路1239弄长泰广场10号楼1层,121.59751014329996,31.20803281517005
麦当劳(南汇店),惠南镇城东路378-392号,121.75923476619127,31.05502610241113
麦当劳(东方路店),潍坊路162号(近东方路),121.52313953037891,31.228109673069806
麦当劳(绿地·缤纷广场店),周浦镇年家浜东路238号上海绿地缤纷广场一楼,121.59046152125146,31.114801386666443
麦当劳(浦三路店),浦三路21弄24号1层、浦三路41号1层,121.50746620968908,31.199364053715147
麦当劳(上海五星路DT店),五星路302号1层101室2层201室,121.56058486631973,31.17648182488856
麦当劳(夏碧路店),夏碧路118号,121.58363117923892,31.340739243407917
麦当劳(证大大拇指广场),芳甸路185号家乐福联洋店B1层,121.55529792926546,31.22954968733978
麦当劳(蓝村路店),蓝村路450号2层,121.52297018459852,31.2136690411397
麦当劳(浦东好又多店),齐河路258号沃尔玛1层,121.49860704071827,31.18112480422251
麦当劳(上海浦东国际机场),迎宾大道6000号上海浦东国际机场1F层,121.79856501863351,31.153384908826304
麦当劳(锦绣路DT店),锦延路337号,121.53882724599188,31.217769641595048
麦当劳(陆家嘴明珠环店),世纪大道55号2层,121.49736352557284,31.240692444676863
麦当劳(盛夏路店),祖冲之路2305号,121.62369723935342,31.2142054223239
麦当劳(巨峰路店),巨峰路1058弄1号新紫茂广场F1层,121.60526464945661,31.282025831128728
麦当劳(博达生活广场店),博山东路68号(万德路),121.55630836832536,31.249758142369018
麦当劳(万达广场)5,周浦镇年家浜路518号万达广场周浦店2层201,121.56421726336673,31.116848410809986
麦当劳(绿地东海岸餐厅),川沙路5558号弄绿地东海岸国际广场6-7号楼103、202室,121.6952135700213,31.185796830082754
麦当劳(上海新国际博览中心店),龙阳路2345号上海新国际博览中心W5馆2层,121.56110977804043,31.21349727693566
麦当劳(东昌路世界广场餐厅),浦东南路855号世界广场B1层,121.51057423145217,31.234374479089997
麦当劳(昌里路店),昌里路333号浦东商场1层、B1层,121.48696872813908,31.17575672389435
麦当劳(张杨路店),张杨路601号华诚大厦1-2层,121.51443802033323,31.23043442904642
麦当劳(北蔡店),沪南路999号51生活时区广场1层,121.55134993682299,31.184770481195443
麦当劳(金桥店),张杨路3611弄金桥国际商业广场8座1层,121.57423802329268,31.25873757387649
麦当劳(正大广场),陆家嘴西路168号正大广场5层35-36号,121.49504130670564,31.238939281735625
麦当劳(杨高南路店),杨高南路1126号,121.52594023800056,31.208540414733818
麦当劳(塘桥店),浦东南路2100号,121.51212048002434,31.212536225720932
麦当劳(乳山路店),乳山路135号,121.51546701748046,31.236944354877025
